method,label,ndcg@1,ndcg@3,ndcg@5,map@1,map@3,map@5,hits@1,hits@3,hits@5,any_hit@1,any_hit@3,any_hit@5
dense_concat,Dense-Concat,0.5891653706583723,0.5788682638347639,0.5942463630236796,0.1148710570380411,0.27175587551674213,0.39281928807346317,0.7021772939346812,1.964230171073095,3.097200622083981,0.7021772939346812,0.8211508553654744,0.8685847589424572
naive_rag,NaiveRAG,0.555469155002592,0.5293977323716818,0.5145540421554365,0.11045747954274644,0.2509321697072222,0.33729103182705533,0.661741835147745,1.7465007776049766,2.5225505443234835,0.661741835147745,0.7612752721617418,0.7947122861586314
carp,CARP-Adapter,0.5819077242094349,0.5582291261634171,0.5444080523354433,0.11490799961238332,0.2635452725313948,0.3510410684170217,0.6819595645412131,1.8203732503888024,2.6267496111975115,0.6819595645412131,0.8102643856920684,0.8538102643856921
tablerag,TableRAG-Adapter,0.5526179367547952,0.5225511589318362,0.5049612742131768,0.11347321756969714,0.24957150638387068,0.3252049534216229,0.640746500777605,1.67651632970451,2.3779160186625194,0.640746500777605,0.7799377916018663,0.8180404354587869
quasar,QUASAR-Adapter,0.3882840850181441,0.3498838328413697,0.3504343566461645,0.06830181155172488,0.14816629472810108,0.18985298231430217,0.4618973561430793,1.166407465007776,1.7332814930015552,0.4618973561430793,0.5723172628304821,0.78149300155521
unihgkr_dense,UniHGKR-Adapter,0.18429237947122862,0.17429570207118994,0.17117052576556388,0.038817769112795567,0.07710982269720032,0.09634804934441499,0.21695178849144633,0.552099533437014,0.7931570762052877,0.21695178849144633,0.3569206842923795,0.4230171073094868
tessera_rag,TESSERA,0.5992742353551063,0.5739805094726063,0.5635218172305994,0.11942505021956148,0.27314490856610923,0.36530049582626095,0.7076205287713841,1.8763608087091757,2.723950233281493,0.7076205287713841,0.8359253499222395,0.8763608087091758
